1st data: correct? 0: correct_number? 0.0: accuracy? 0.0
11st data: correct? 1: correct_number? 10.0: accuracy? 90.9090909090909
12st data: correct? 1: correct_number? 11.0: accuracy? 91.66666666666666
13st data: correct? 1: correct_number? 12.0: accuracy? 92.3076923076923
14st data: correct? 1: correct_number? 13.0: accuracy? 92.85714285714286
15st data: correct? 1: correct_number? 14.0: accuracy? 93.33333333333333
16st data: correct? 1: correct_number? 15.0: accuracy? 93.75
17st data: correct? 0: correct_number? 15.0: accuracy? 88.23529411764706
18st data: correct? 1: correct_number? 16.0: accuracy? 88.88888888888889
19st data: correct? 0: correct_number? 16.0: accuracy? 84.21052631578947
20st data: correct? 0: correct_number? 16.0: accuracy? 80.0
21st data: correct? 1: correct_number? 17.0: accuracy? 80.95238095238095
22st data: correct? 0: correct_number? 17.0: accuracy? 77.27272727272727
23st data: correct? 0: correct_number? 17.0: accuracy? 73.91304347826086
24st data: correct? 1: correct_number? 18.0: accuracy? 75.0
25st data: correct? 0: correct_number? 18.0: accuracy? 72.0
26st data: correct? 0: correct_number? 18.0: accuracy? 69.23076923076923
27st data: correct? 1: correct_number? 19.0: accuracy? 70.37037037037037
28st data: correct? 1: correct_number? 20.0: accuracy? 71.42857142857143
29st data: correct? 1: correct_number? 21.0: accuracy? 72.41379310344827
30st data: correct? 1: correct_number? 22.0: accuracy? 73.33333333333333
31st data: correct? 1: correct_number? 23.0: accuracy? 74.19354838709677
32st data: correct? 1: correct_number? 24.0: accuracy? 75.0
33st data: correct? 0: correct_number? 24.0: accuracy? 72.72727272727273
34st data: correct? 1: correct_number? 25.0: accuracy? 73.52941176470588
35st data1st data: correct? 1: correct_number? 1.0: accuracy? 100.0
2st data: correct? 1: correct_number? 2.0: accuracy? 100.0
3st data: correct? 1: correct_number? 3.0: accuracy? 100.0
4st data: correct? 1: correct_number? 4.0: accuracy? 100.0
5st data: correct? 1: correct_number? 5.0: accuracy? 100.0
6st data: correct? 1: correct_number? 6.0: accuracy? 100.0
7st data: correct? 1: correct_number? 7.0: accuracy? 100.0
8st data: correct? 1: correct_number? 8.0: accuracy? 100.0
9st data: correct? 1: correct_number? 9.0: accuracy? 100.0
10st data: correct? 1: correct_number? 10.0: accuracy? 100.0
11st data: correct? 1: correct_number? 11.0: accuracy? 100.0
12st data: correct? 1: correct_number? 12.0: accuracy? 100.0
13st data: correct? 0: correct_number? 12.0: accuracy? 92.3076923076923
14st data: correct? 1: correct_number? 13.0: accuracy? 92.85714285714286
15st data: correct? 1: correct_number? 14.0: accuracy? 93.33333333333333
16st data: correct? 1: correct_number? 15.0: accuracy? 93.75
17st data: correct? 0: correct_number? 15.0: accuracy? 88.23529411764706
18st data: correct? 1: correct_number? 16.0: accuracy? 88.88888888888889
19st data: correct? 0: correct_number? 16.0: accuracy? 84.21052631578947
20st data: correct? 0: correct_number? 16.0: accuracy? 80.0
21st data: correct? 1: correct_number? 17.0: accuracy? 80.95238095238095
22st data: correct? 0: correct_number? 17.0: accuracy? 77.27272727272727
23st data: correct? 0: correct_number? 17.0: accuracy? 73.91304347826086
24st data: correct? 1: correct_number? 18.0: accuracy? 75.0
25st data: correct? 0: correct_number? 18.0: accuracy? 72.0
26st data: correct? 1: correct_number? 19.0: accuracy? 73.07692307692307
27st data: correct? 1: correct_number? 20.0: accuracy? 74.07407407407408
28st data: correct? 1: correct_number? 21.0: accuracy? 75.0
29st data: correct? 1: correct_number? 22.0: accuracy? 75.86206896551724
30st data: correct? 1: correct_number? 23.0: accuracy? 76.66666666666667
31st data: correct? 1: correct_number? 24.0: accuracy? 77.41935483870968
32st data: correct? 1: correct_number? 25.0: accuracy? 78.125
33st data: correct? 0: correct_number? 25.0: accuracy? 75.75757575757575
34st data: correct? 0: correct_number? 25.0: accuracy? 73.52941176470588
35st data: correct? 1: correct_number? 26.0: accuracy? 74.28571428571429
36st data: correct? 1: correct_number? 27.0: accuracy? 75.0
37st data: correct? 1: correct_number? 28.0: accuracy? 75.67567567567568
38st data: correct? 1: correct_number? 29.0: accuracy? 76.31578947368422
39st data: correct? 1: correct_number? 30.0: accuracy? 76.92307692307693
40st data: correct? 0: correct_number? 30.0: accuracy? 75.0
41st data: correct? 1: correct_number? 31.0: accuracy? 75.60975609756098
42st data: correct? 1: correct_number? 32.0: accuracy? 76.19047619047619
43st data: correct? 1: correct_number? 33.0: accuracy? 76.74418604651163
44st data: correct? 1: correct_number? 34.0: accuracy? 77.27272727272727
45st data: correct? 1: correct_number? 35.0: accuracy? 77.77777777777779
46st data: correct? 1: correct_number? 36.0: accuracy? 78.26086956521739
47st data: correct? 1: correct_number? 37.0: accuracy? 78.72340425531915
48st data: correct? 1: correct_number? 38.0: accuracy? 79.16666666666666
49st data: correct? 0: correct_number? 38.0: accuracy? 77.55102040816327
50st data: correct? 1: correct_number? 39.0: accuracy? 78.0
51st data: correct? 1: correct_number? 40.0: accuracy? 78.43137254901961
52st data: correct? 1: correct_number? 41.0: accuracy? 78.84615384615384
53st data: correct? 0: correct_number? 41.0: accuracy? 77.35849056603774
54st data: correct? 1: correct_number? 42.0: accuracy? 77.77777777777779
55st data: correct? 1: correct_number? 43.0: accuracy? 78.18181818181819
56st data: correct? 1: correct_number? 44.0: accuracy? 78.57142857142857
57st data: correct? 1: correct_number? 45.0: accuracy? 78.94736842105263
58st data: correct? 0: correct_number? 45.0: accuracy? 77.58620689655173
59st data: correct? 0: correct_number? 45.0: accuracy? 76.27118644067797
60st data: correct? 1: correct_number? 46.0: accuracy? 76.66666666666667
61st data: correct? 1: correct_number? 47.0: accuracy? 77.04918032786885
62st data: correct? 0: correct_number? 47.0: accuracy? 75.80645161290323
63st data: correct? 1: correct_number? 48.0: accuracy? 76.19047619047619
64st data: correct? 1: correct_number? 49.0: accuracy? 76.5625
65st data: correct? 0: correct_number? 49.0: accuracy? 75.38461538461539
66st data: correct? 0: correct_number? 49.0: accuracy? 74.24242424242425
67st data: correct? 1: correct_number? 50.0: accuracy? 74.6268656716418
68st data: correct? 1: correct_number? 51.0: accuracy? 75.0
69st data: correct? 0: correct_number? 51.0: accuracy? 73.91304347826086
70st data: correct? 1: correct_number? 52.0: accuracy? 74.28571428571429
71st data: correct? 1: correct_number? 53.0: accuracy? 74.64788732394366
72st data: correct? 0: correct_number? 53.0: accuracy? 73.61111111111111
73st data: correct? 1: correct_number? 54.0: accuracy? 73.97260273972603
74st data1st data: correct? 1: correct_number? 1.0: accuracy? 100.0
2st data: correct? 0: correct_number? 1.0: accuracy? 50.0
3st data: correct? 1: correct_number? 2.0: accuracy? 66.66666666666666
4st data: correct? 1: correct_number? 3.0: accuracy? 75.0
5st data: correct? 1: correct_number? 4.0: accuracy? 80.0
6st data: correct? 1: correct_number? 5.0: accuracy? 83.33333333333334
7st data: correct? 1: correct_number? 6.0: accuracy? 85.71428571428571
8st data: correct? 0: correct_number? 6.0: accuracy? 75.0
9st data: correct? 1: correct_number? 7.0: accuracy? 77.77777777777779
10st data1st data: correct? 1: correct_number? 1.0: accuracy? 100.0
2st data: correct? 0: correct_number? 1.0: accuracy? 50.0
3st data: correct? 1: correct_number? 2.0: accuracy? 66.66666666666666
4st data: correct? 1: correct_number? 3.0: accuracy? 75.0
5st data: correct? 1: correct_number? 4.0: accuracy? 80.0
6st data: correct? 1: correct_number? 5.0: accuracy? 83.33333333333334
7st data: correct? 1: correct_number? 6.0: accuracy? 85.71428571428571
8st data: correct? 1: correct_number? 7.0: accuracy? 87.5
9st data: correct? 1: correct_number? 8.0: accuracy? 88.88888888888889
10st data: correct? 1: correct_number? 9.0: accuracy? 90.0
11st data: correct? 1: correct_number? 10.0: accuracy? 90.9090909090909
12st data: correct? 1: correct_number? 11.0: accuracy? 91.66666666666666
13st data: correct? 0: correct_number? 11.0: accuracy? 84.61538461538461
14st data: correct? 0: correct_number? 11.0: accuracy? 78.57142857142857
15st data: correct? 1: correct_number? 12.0: accuracy? 80.0
16st data: correct? 1: correct_number? 13.0: accuracy? 81.25
17st data: correct? 0: correct_number? 13.0: accuracy? 76.47058823529412
18st data: correct? 1: correct_number? 14.0: accuracy? 77.77777777777779
19st data: correct? 0: correct_number? 14.0: accuracy? 73.68421052631578
20st data: correct? 0: correct_number? 14.0: accuracy? 70.0
21st data: correct? 0: correct_number? 14.0: accuracy? 66.66666666666666
22st data: correct? 0: correct_number? 14.0: accuracy? 63.63636363636363
23st data1st data: correct? 1: correct_number? 1.0: accuracy? 100.0
2st data: correct? 1: correct_number? 2.0: accuracy? 100.0
3st data: correct? 1: correct_number? 3.0: accuracy? 100.0
4st data: correct? 0: correct_number? 3.0: accuracy? 75.0
5st data: correct? 0: correct_number? 3.0: accuracy? 60.0
6st data: correct? 1: correct_number? 4.0: accuracy? 66.66666666666666
7st data: correct? 1: correct_number? 5.0: accuracy? 71.42857142857143
8st data: correct? 1: correct_number? 6.0: accuracy? 75.0
9st data: correct? 1: correct_number? 7.0: accuracy? 77.77777777777779
10st data: correct? 1: correct_number? 8.0: accuracy? 80.0
11st data: correct? 1: correct_number? 9.0: accuracy? 81.81818181818183
12st data: correct? 1: correct_number? 10.0: accuracy? 83.33333333333334
13st data: correct? 0: correct_number? 10.0: accuracy? 76.92307692307693
14st data: correct? 1: correct_number? 11.0: accuracy? 78.57142857142857
15st data: correct? 1: correct_number? 12.0: accuracy? 80.0
16st data: correct? 1: correct_number? 13.0: accuracy? 81.25
17st data: correct? 1: correct_number? 14.0: accuracy? 82.35294117647058
18st data: correct? 1: correct_number? 15.0: accuracy? 83.33333333333334
19st data: correct? 0: correct_number? 15.0: accuracy? 78.94736842105263
20st data: correct? 0: correct_number? 15.0: accuracy? 75.0
21st data: correct? 1: correct_number? 16.0: accuracy? 76.19047619047619
22st data: correct? 0: correct_number? 16.0: accuracy? 72.72727272727273
23st data: correct? 0: correct_number? 16.0: accuracy? 69.56521739130434
24st data: correct? 1: correct_number? 17.0: accuracy? 70.83333333333334
25st data: correct? 1: correct_number? 18.0: accuracy? 72.0
26st data: correct? 1: correct_number? 19.0: accuracy? 73.07692307692307
27st data1st data: correct? 0: correct_number? 0.0: accuracy? 0.0
2st data: correct? 1: correct_number? 1.0: accuracy? 50.0
3st data: correct? 1: correct_number? 2.0: accuracy? 66.66666666666666
4st data: correct? 1: correct_number? 3.0: accuracy? 75.0
5st data: correct? 1: correct_number? 4.0: accuracy? 80.0
6st data: correct? 1: correct_number? 5.0: accuracy? 83.33333333333334
7st data: correct? 1: correct_number? 6.0: accuracy? 85.71428571428571
8st data: correct? 1: correct_number? 7.0: accuracy? 87.5
9st data: correct? 1: correct_number? 8.0: accuracy? 88.88888888888889
10st data: correct? 1: correct_number? 9.0: accuracy? 90.0
11st data: correct? 1: correct_number? 10.0: accuracy? 90.9090909090909
12st data: correct? 1: correct_number? 11.0: accuracy? 91.66666666666666
13st data: correct? 0: correct_number? 11.0: accuracy? 84.61538461538461
14st data: correct? 1: correct_number? 12.0: accuracy? 85.71428571428571
15st data: correct? 1: correct_number? 13.0: accuracy? 86.66666666666667
16st data: correct? 1: correct_number? 14.0: accuracy? 87.5
17st data: correct? 0: correct_number? 14.0: accuracy? 82.35294117647058
18st data: correct? 1: correct_number? 15.0: accuracy? 83.33333333333334
19st data: correct? 0: correct_number? 15.0: accuracy? 78.94736842105263
20st data: correct? 0: correct_number? 15.0: accuracy? 75.0
21st data: correct? 0: correct_number? 15.0: accuracy? 71.42857142857143
22st data: correct? 0: correct_number? 15.0: accuracy? 68.18181818181817
23st data: correct? 0: correct_number? 15.0: accuracy? 65.21739130434783
24st data: correct? 1: correct_number? 16.0: accuracy? 66.66666666666666
25st data: correct? 1: correct_number? 17.0: accuracy? 68.0
26st data: correct? 0: correct_number? 17.0: accuracy? 65.38461538461539
27st data: correct? 1: correct_number? 18.0: accuracy? 66.66666666666666
28st data: correct? 1: correct_number? 19.0: accuracy? 67.85714285714286
29st data: correct? 1: correct_number? 20.0: accuracy? 68.96551724137932
30st data: correct? 1: correct_number? 21.0: accuracy? 70.0
31st data: correct? 1: correct_number? 22.0: accuracy? 70.96774193548387
32st data: correct? 1: correct_number? 23.0: accuracy? 71.875
33st data: correct? 0: correct_number? 23.0: accuracy? 69.6969696969697
34st data: correct? 1: correct_number? 24.0: accuracy? 70.58823529411765
35st data: correct? 1: correct_number? 25.0: accuracy? 71.42857142857143
36st data: correct? 1: correct_number? 26.0: accuracy? 72.22222222222221
37st data: correct? 1: correct_number? 27.0: accuracy? 72.97297297297297
38st data: correct? 1: correct_number? 28.0: accuracy? 73.68421052631578
39st data: correct? 0: correct_number? 28.0: accuracy? 71.7948717948718
40st data: correct? 0: correct_number? 28.0: accuracy? 70.0
41st data: correct? 1: correct_number? 29.0: accuracy? 70.73170731707317
42st data: correct? 1: correct_number? 30.0: accuracy? 71.42857142857143
43st data: correct? 1: correct_number? 31.0: accuracy? 72.09302325581395
44st data: correct? 1: correct_number? 32.0: accuracy? 72.72727272727273
45st data: correct? 1: correct_number? 33.0: accuracy? 73.33333333333333
46st data: correct? 1: correct_number? 34.0: accuracy? 73.91304347826086
47st data: correct? 1: correct_number? 35.0: accuracy? 74.46808510638297
48st data: correct? 0: correct_number? 35.0: accuracy? 72.91666666666666
49st data: correct? 0: correct_number? 35.0: accuracy? 71.42857142857143
50st data: correct? 1: correct_number? 36.0: accuracy? 72.0
51st data: correct? 1: correct_number? 37.0: accuracy? 72.54901960784314
52st data: correct? 1: correct_number? 38.0: accuracy? 73.07692307692307
53st data: correct? 0: correct_number? 38.0: accuracy? 71.69811320754717
54st data: correct? 1: correct_number? 39.0: accuracy? 72.22222222222221
55st data: correct? 1: correct_number? 40.0: accuracy? 72.72727272727273
56st data: correct? 1: correct_number? 41.0: accuracy? 73.21428571428571
57st data: correct? 1: correct_number? 42.0: accuracy? 73.68421052631578
58st data: correct? 0: correct_number? 42.0: accuracy? 72.41379310344827
59st data: correct? 0: correct_number? 42.0: accuracy? 71.1864406779661
60st data: correct? 1: correct_number? 43.0: accuracy? 71.66666666666667
61st data: correct? 1: correct_number? 44.0: accuracy? 72.1311475409836
62st data: correct? 1: correct_number? 45.0: accuracy? 72.58064516129032
63st data: correct? 1: correct_number? 46.0: accuracy? 73.01587301587301
64st data: correct? 1: correct_number? 47.0: accuracy? 73.4375
65st data: correct? 0: correct_number? 47.0: accuracy? 72.3076923076923
66st data: correct? 1: correct_number? 48.0: accuracy? 72.72727272727273
67st data: correct? 1: correct_number? 49.0: accuracy? 73.13432835820896
68st data: correct? 0: correct_number? 49.0: accuracy? 72.05882352941177
69st data: correct? 0: correct_number? 49.0: accuracy? 71.01449275362319
70st data: correct? 0: correct_number? 49.0: accuracy? 70.0
71st data: correct? 1: correct_number? 50.0: accuracy? 70.4225352112676
72st data: correct? 1: correct_number? 51.0: accuracy? 70.83333333333334
73st data: correct? 1: correct_number? 52.0: accuracy? 71.23287671232876
74st data: correct? 1: correct_number? 53.0: accuracy? 71.62162162162163
75st data: correct? 0: correct_number? 53.0: accuracy? 70.66666666666667
76st data: correct? 0: correct_number? 53.0: accuracy? 69.73684210526315
77st data: correct? 0: correct_number? 53.0: accuracy? 68.83116883116884
78st data: correct? 1: correct_number? 54.0: accuracy? 69.23076923076923
79st data: correct? 1: correct_number? 55.0: accuracy? 69.62025316455697
80st data: correct? 1: correct_number? 56.0: accuracy? 70.0
81st data: correct? 1: correct_number? 57.0: accuracy? 70.37037037037037
82st data: correct? 1: correct_number? 58.0: accuracy? 70.73170731707317
83st data: correct? 1: correct_number? 59.0: accuracy? 71.08433734939759
84st data: correct? 1: correct_number? 60.0: accuracy? 71.42857142857143
85st data: correct? 1: correct_number? 61.0: accuracy? 71.76470588235294
86st data: correct? 1: correct_number? 62.0: accuracy? 72.09302325581395
87st data: correct? 1: correct_number? 63.0: accuracy? 72.41379310344827
88st data: correct? 1: correct_number? 64.0: accuracy? 72.72727272727273
89st data: correct? 1: correct_number? 65.0: accuracy? 73.03370786516854
90st data: correct? 1: correct_number? 66.0: accuracy? 73.33333333333333
91st data: correct? 1: correct_number? 67.0: accuracy? 73.62637362637363
92st data: correct? 1: correct_number? 68.0: accuracy? 73.91304347826086
93st data: correct? 1: correct_number? 69.0: accuracy? 74.19354838709677
94st data: correct? 1: correct_number? 70.0: accuracy? 74.46808510638297
95st data: correct? 1: correct_number? 71.0: accuracy? 74.73684210526315
96st data: correct? 1: correct_number? 72.0: accuracy? 75.0
97st data: correct? 1: correct_number? 73.0: accuracy? 75.25773195876289
98st data: correct? 1: correct_number? 74.0: accuracy? 75.51020408163265
99st data: correct? 0: correct_number? 74.0: accuracy? 74.74747474747475
100st data: correct? 1: correct_number? 75.0: accuracy? 75.0
101st data: correct? 0: correct_number? 75.0: accuracy? 74.25742574257426
102st data: correct? 1: correct_number? 76.0: accuracy? 74.50980392156863
103st data: correct? 1: correct_number? 77.0: accuracy? 74.75728155339806
104st data: correct? 0: correct_number? 77.0: accuracy? 74.03846153846155
105st data: correct? 1: correct_number? 78.0: accuracy? 74.28571428571429
106st data: correct? 1: correct_number? 79.0: accuracy? 74.52830188679245
107st data: correct? 1: correct_number? 80.0: accuracy? 74.76635514018692
108st data: correct? 1: correct_number? 81.0: accuracy? 75.0
109st data: correct? 1: correct_number? 82.0: accuracy? 75.22935779816514
110st data: correct? 1: correct_number? 83.0: accuracy? 75.45454545454545
111st data: correct? 1: correct_number? 84.0: accuracy? 75.67567567567568
112st data: correct? 1: correct_number? 85.0: accuracy? 75.89285714285714
113st data: correct? 1: correct_number? 86.0: accuracy? 76.10619469026548
114st data: correct? 0: correct_number? 86.0: accuracy? 75.43859649122807
115st data: correct? 1: correct_number? 87.0: accuracy? 75.65217391304347
116st data: correct? 1: correct_number? 88.0: accuracy? 75.86206896551724
117st data: correct? 1: correct_number? 89.0: accuracy? 76.06837606837607
118st data: correct? 0: correct_number? 89.0: accuracy? 75.42372881355932
119st data: correct? 1: correct_number? 90.0: accuracy? 75.63025210084034
120st data: correct? 0: correct_number? 90.0: accuracy? 75.0
121st data: correct? 1: correct_number? 91.0: accuracy? 75.20661157024794
122st data: correct? 1: correct_number? 92.0: accuracy? 75.40983606557377
123st data: correct? 0: correct_number? 92.0: accuracy? 74.79674796747967
124st data: correct? 1: correct_number? 93.0: accuracy? 75.0
125st data: correct? 1: correct_number? 94.0: accuracy? 75.2
126st data: correct? 1: correct_number? 95.0: accuracy? 75.39682539682539
127st data: correct? 0: correct_number? 95.0: accuracy? 74.80314960629921
128st data: correct? 1: correct_number? 96.0: accuracy? 75.0
129st data: correct? 1: correct_number? 97.0: accuracy? 75.1937984496124
130st data: correct? 1: correct_number? 98.0: accuracy? 75.38461538461539
131st data: correct? 1: correct_number? 99.0: accuracy? 75.57251908396947
132st data: correct? 1: correct_number? 100.0: accuracy? 75.75757575757575
133st data: correct? 1: correct_number? 101.0: accuracy? 75.93984962406014
134st data: correct? 1: correct_number? 102.0: accuracy? 76.11940298507463
135st data: correct? 1: correct_number? 103.0: accuracy? 76.29629629629629
136st data: correct? 0: correct_number? 103.0: accuracy? 75.73529411764706
137st data: correct? 1: correct_number? 104.0: accuracy? 75.91240875912408
138st data: correct? 1: correct_number? 105.0: accuracy? 76.08695652173914
139st data: correct? 1: correct_number? 106.0: accuracy? 76.2589928057554
140st data: correct? 1: correct_number? 107.0: accuracy? 76.42857142857142
141st data: correct? 1: correct_number? 108.0: accuracy? 76.59574468085107
142st data: correct? 0: correct_number? 108.0: accuracy? 76.05633802816901
143st data: correct? 0: correct_number? 108.0: accuracy? 75.52447552447552
144st data: correct? 0: correct_number? 108.0: accuracy? 75.0
145st data: correct? 1: correct_number? 109.0: accuracy? 75.17241379310344
146st data: correct? 1: correct_number? 110.0: accuracy? 75.34246575342466
147st data: correct? 1: correct_number? 111.0: accuracy? 75.51020408163265
148st data: correct? 1: correct_number? 112.0: accuracy? 75.67567567567568
149st data: correct? 1: correct_number? 113.0: accuracy? 75.83892617449665
150st data: correct? 1: correct_number? 114.0: accuracy? 76.0
151st data: correct? 1: correct_number? 115.0: accuracy? 76.15894039735099
152st data: correct? 1: correct_number? 116.0: accuracy? 76.31578947368422
153st data: correct? 1: correct_number? 117.0: accuracy? 76.47058823529412
154st data: correct? 0: correct_number? 117.0: accuracy? 75.97402597402598
155st data: correct? 1: correct_number? 118.0: accuracy? 76.12903225806451
156st data: correct? 1: correct_number? 119.0: accuracy? 76.28205128205127
157st data: correct? 1: correct_number? 120.0: accuracy? 76.43312101910828
158st data: correct? 1: correct_number? 121.0: accuracy? 76.58227848101265
159st data: correct? 1: correct_number? 122.0: accuracy? 76.72955974842768
160st data: correct? 0: correct_number? 122.0: accuracy? 76.25
161st data: correct? 1: correct_number? 123.0: accuracy? 76.3975155279503
162st data: correct? 1: correct_number? 124.0: accuracy? 76.5432098765432
163st data: correct? 1: correct_number? 125.0: accuracy? 76.68711656441718
164st data1st data1st data: correct? 0: correct_number? 0.0: accuracy? 0.0
2st data: correct? 1: correct_number? 1.0: accuracy? 50.0
3st data: correct? 1: correct_number? 2.0: accuracy? 66.66666666666666
4st data: correct? 1: correct_number? 3.0: accuracy? 75.0
5st data: correct? 1: correct_number? 4.0: accuracy? 80.0
6st data: correct? 1: correct_number? 5.0: accuracy? 83.33333333333334
7st data: correct? 1: correct_number? 6.0: accuracy? 85.71428571428571
8st data: correct? 1: correct_number? 7.0: accuracy? 87.5
9st data: correct? 1: correct_number? 8.0: accuracy? 88.88888888888889
10st data: correct? 1: correct_number? 9.0: accuracy? 90.0
11st data: correct? 1: correct_number? 10.0: accuracy? 90.9090909090909
12st data: correct? 1: correct_number? 11.0: accuracy? 91.66666666666666
13st data: correct? 1: correct_number? 12.0: accuracy? 92.3076923076923
14st data: correct? 1: correct_number? 13.0: accuracy? 92.85714285714286
15st data: correct? 1: correct_number? 14.0: accuracy? 93.33333333333333
16st data: correct? 1: correct_number? 15.0: accuracy? 93.75
17st data: correct? 0: correct_number? 15.0: accuracy? 88.23529411764706
18st data: correct? 1: correct_number? 16.0: accuracy? 88.88888888888889
19st data: correct? 0: correct_number? 16.0: accuracy? 84.21052631578947
20st data: correct? 0: correct_number? 16.0: accuracy? 80.0
21st data: correct? 1: correct_number? 17.0: accuracy? 80.95238095238095
22st data: correct? 0: correct_number? 17.0: accuracy? 77.27272727272727
23st data: correct? 0: correct_number? 17.0: accuracy? 73.91304347826086
24st data: correct? 1: correct_number? 18.0: accuracy? 75.0
25st data: correct? 0: correct_number? 18.0: accuracy? 72.0
26st data: correct? 1: correct_number? 19.0: accuracy? 73.07692307692307
27st data: correct? 1: correct_number? 20.0: accuracy? 74.07407407407408
28st data: correct? 0: correct_number? 20.0: accuracy? 71.42857142857143
29st data: correct? 1: correct_number? 21.0: accuracy? 72.41379310344827
30st data: correct? 1: correct_number? 22.0: accuracy? 73.33333333333333
31st data: correct? 1: correct_number? 23.0: accuracy? 74.19354838709677
32st data: correct? 1: correct_number? 24.0: accuracy? 75.0
33st data: correct? 0: correct_number? 24.0: accuracy? 72.72727272727273
34st data: correct? 1: correct_number? 25.0: accuracy? 73.52941176470588
35st data: correct? 1: correct_number? 26.0: accuracy? 74.28571428571429
36st data: correct? 1: correct_number? 27.0: accuracy? 75.0
37st data: correct? 1: correct_number? 28.0: accuracy? 75.67567567567568
38st data: correct? 1: correct_number? 29.0: accuracy? 76.31578947368422
39st data: correct? 0: correct_number? 29.0: accuracy? 74.35897435897436
40st data: correct? 0: correct_number? 29.0: accuracy? 72.5
41st data: correct? 1: correct_number? 30.0: accuracy? 73.17073170731707
42st data: correct? 1: correct_number? 31.0: accuracy? 73.80952380952381
43st data: correct? 1: correct_number? 32.0: accuracy? 74.4186046511628
44st data: correct? 1: correct_number? 33.0: accuracy? 75.0
45st data: correct? 1: correct_number? 34.0: accuracy? 75.55555555555556
46st data: correct? 1: correct_number? 35.0: accuracy? 76.08695652173914
47st data: correct? 1: correct_number? 36.0: accuracy? 76.59574468085107
48st data: correct? 1: correct_number? 37.0: accuracy? 77.08333333333334
49st data: correct? 0: correct_number? 37.0: accuracy? 75.51020408163265
50st data: correct? 1: correct_number? 38.0: accuracy? 76.0
51st data: correct? 1: correct_number? 39.0: accuracy? 76.47058823529412
52st data: correct? 1: correct_number? 40.0: accuracy? 76.92307692307693
53st data: correct? 1: correct_number? 41.0: accuracy? 77.35849056603774
54st data: correct? 1: correct_number? 42.0: accuracy? 77.77777777777779
55st data: correct? 1: correct_number? 43.0: accuracy? 78.18181818181819
56st data: correct? 0: correct_number? 43.0: accuracy? 76.78571428571429
57st data: correct? 1: correct_number? 44.0: accuracy? 77.19298245614034
58st data: correct? 1: correct_number? 45.0: accuracy? 77.58620689655173
59st data: correct? 0: correct_number? 45.0: accuracy? 76.27118644067797
60st data: correct? 1: correct_number? 46.0: accuracy? 76.66666666666667
61st data: correct? 1: correct_number? 47.0: accuracy? 77.04918032786885
62st data: correct? 0: correct_number? 47.0: accuracy? 75.80645161290323
63st data: correct? 1: correct_number? 48.0: accuracy? 76.19047619047619
